Entity,Code,Year,foraging
North Macedonia,MKD,1000,Minimal
North Macedonia,MKD,1500,Minimal
North Macedonia,MKD,1750,Minimal
North Macedonia,MKD,1850,Minimal
Oman,OMN,-8000,Widespread
Oman,OMN,-6000,Widespread
Oman,OMN,-4000,Common
Oman,OMN,-2000,Common
Oman,OMN,-1000,Minimal
Oman,OMN,0,Minimal
Oman,OMN,1000,Minimal
Oman,OMN,1500,None
Oman,OMN,1750,Minimal
Oman,OMN,1850,Minimal
Pakistan,PAK,-8000,Minimal
Pakistan,PAK,-6000,Minimal
Pakistan,PAK,-4000,Minimal
Pakistan,PAK,-2000,Minimal
Pakistan,PAK,-1000,Minimal
Pakistan,PAK,0,None
Pakistan,PAK,1000,None
Pakistan,PAK,1500,None
Pakistan,PAK,1750,None
Pakistan,PAK,1850,None
Palestine,PSE,-8000,Widespread
Palestine,PSE,-6000,Common
Palestine,PSE,-4000,Minimal
Palestine,PSE,-2000,Minimal
Palestine,PSE,-1000,Minimal
Palestine,PSE,0,Minimal
Palestine,PSE,1000,Minimal
Palestine,PSE,1500,Minimal
Palestine,PSE,1750,Minimal
Palestine,PSE,1850,Minimal
Panama,PAN,-8000,Common
Panama,PAN,-6000,Widespread
Panama,PAN,-4000,Widespread
Panama,PAN,-2000,Common
Panama,PAN,-1000,Widespread
Panama,PAN,0,Widespread
Panama,PAN,1000,Widespread
Panama,PAN,1500,Widespread
Panama,PAN,1750,Widespread
Panama,PAN,1850,Common
Papua New Guinea,PNG,-8000,Widespread
Papua New Guinea,PNG,-6000,Widespread
Papua New Guinea,PNG,-4000,Widespread
Papua New Guinea,PNG,-2000,Widespread
Papua New Guinea,PNG,-1000,Widespread
Papua New Guinea,PNG,0,Widespread
Papua New Guinea,PNG,1000,Widespread
Papua New Guinea,PNG,1500,Widespread
Papua New Guinea,PNG,1750,Widespread
Papua New Guinea,PNG,1850,Widespread
Philippines,PHL,-8000,Widespread
Philippines,PHL,-6000,Widespread
Philippines,PHL,-4000,Widespread
Philippines,PHL,-2000,Widespread
Philippines,PHL,-1000,Widespread
Philippines,PHL,0,Widespread
Philippines,PHL,1000,Widespread
Philippines,PHL,1500,Widespread
Philippines,PHL,1750,Widespread
Philippines,PHL,1850,Widespread
Poland,POL,-8000,Widespread
Poland,POL,-6000,Widespread
Poland,POL,-4000,Widespread
Poland,POL,-2000,Common
Poland,POL,-1000,Minimal
Poland,POL,0,Minimal
Poland,POL,1000,Minimal
Poland,POL,1500,Minimal
Poland,POL,1750,Minimal
Poland,POL,1850,Minimal
Polynesia,OWID_PYA,-8000,None
Polynesia,OWID_PYA,-6000,None
Polynesia,OWID_PYA,-4000,None
Polynesia,OWID_PYA,-2000,None
Polynesia,OWID_PYA,-1000,Common
Polynesia,OWID_PYA,0,Common
Polynesia,OWID_PYA,1000,Common
Polynesia,OWID_PYA,1500,Common
Polynesia,OWID_PYA,1750,Common
Polynesia,OWID_PYA,1850,Common
Portugal,PRT,-8000,Widespread
Portugal,PRT,-6000,Widespread
Portugal,PRT,-4000,Common
Portugal,PRT,-2000,Common
Portugal,PRT,-1000,Minimal
Portugal,PRT,0,Minimal
Portugal,PRT,1000,Minimal
Portugal,PRT,1500,Minimal
Portugal,PRT,1750,Minimal
Portugal,PRT,1850,Minimal
Romania,ROU,-8000,Widespread
Romania,ROU,-6000,Widespread
Romania,ROU,-4000,Minimal
Romania,ROU,-2000,Minimal
Romania,ROU,-1000,Minimal
Romania,ROU,0,Common
Romania,ROU,1000,Common
Romania,ROU,1500,Minimal
Romania,ROU,1750,Minimal
Romania,ROU,1850,Minimal
Russia,RUS,-8000,Widespread
Russia,RUS,-6000,Widespread
Russia,RUS,-4000,Widespread
Russia,RUS,-2000,Widespread
Russia,RUS,-1000,Common
Russia,RUS,0,Minimal
Russia,RUS,1000,Minimal
Russia,RUS,1500,Minimal
Russia,RUS,1750,Minimal
Russia,RUS,1850,Minimal
Rwanda,RWA,-8000,Minimal
Rwanda,RWA,-6000,Minimal
Rwanda,RWA,-4000,Common
Rwanda,RWA,-2000,Common
Rwanda,RWA,-1000,Common
Rwanda,RWA,0,Common
Rwanda,RWA,1000,Common
Rwanda,RWA,1500,Minimal
Rwanda,RWA,1750,Minimal
Rwanda,RWA,1850,Minimal
Saint Kitts and Nevis,KNA,-8000,None
Saint Kitts and Nevis,KNA,-6000,Minimal
Saint Kitts and Nevis,KNA,-4000,Minimal
Saint Kitts and Nevis,KNA,-2000,Common
Saint Kitts and Nevis,KNA,-1000,Common
Saint Kitts and Nevis,KNA,0,Widespread
Saint Kitts and Nevis,KNA,1000,Widespread
Saint Kitts and Nevis,KNA,1500,Widespread
Saint Kitts and Nevis,KNA,1750,Common
Saint Kitts and Nevis,KNA,1850,Common
Saint Lucia,LCA,-8000,None
Saint Lucia,LCA,-6000,Minimal
Saint Lucia,LCA,-4000,Minimal
Saint Lucia,LCA,-2000,Common
Saint Lucia,LCA,-1000,Common
Saint Lucia,LCA,0,Widespread
Saint Lucia,LCA,1000,Widespread
Saint Lucia,LCA,1500,Widespread
Saint Lucia,LCA,1750,Common
Saint Lucia,LCA,1850,Common
Saint Vincent and the Grenadines,VCT,-8000,None
Saint Vincent and the Grenadines,VCT,-6000,Minimal
Saint Vincent and the Grenadines,VCT,-4000,Minimal
Saint Vincent and the Grenadines,VCT,-2000,Common
Saint Vincent and the Grenadines,VCT,-1000,Common
Saint Vincent and the Grenadines,VCT,0,Widespread
Saint Vincent and the Grenadines,VCT,1000,Widespread
Saint Vincent and the Grenadines,VCT,1500,Widespread
Saint Vincent and the Grenadines,VCT,1750,Common
Saint Vincent and the Grenadines,VCT,1850,Common
Saudi Arabia,SAU,-8000,Widespread
Saudi Arabia,SAU,-6000,Common
Saudi Arabia,SAU,-4000,Common
Saudi Arabia,SAU,-2000,Common
Saudi Arabia,SAU,-1000,Common
Saudi Arabia,SAU,0,Common
Saudi Arabia,SAU,1000,Common
Saudi Arabia,SAU,1500,Common
Saudi Arabia,SAU,1750,Common
Saudi Arabia,SAU,1850,Common
Senegal,SEN,-8000,Widespread
Senegal,SEN,-6000,Widespread
Senegal,SEN,-4000,Widespread
Senegal,SEN,-2000,Widespread
Senegal,SEN,-1000,Widespread
Senegal,SEN,0,Common
Senegal,SEN,1000,Common
Senegal,SEN,1500,Common
Senegal,SEN,1750,Common
Senegal,SEN,1850,Common
Serbia,SRB,-8000,Widespread
Serbia,SRB,-6000,Common
Serbia,SRB,-4000,Common
Serbia,SRB,-2000,Minimal
Serbia,SRB,-1000,Minimal
Serbia,SRB,0,Minimal
Serbia,SRB,1000,Minimal
Serbia,SRB,1500,Minimal
Serbia,SRB,1750,Minimal
Serbia,SRB,1850,Minimal
Sierra Leone,SLE,-8000,Widespread
Sierra Leone,SLE,-6000,Widespread
Sierra Leone,SLE,-4000,Widespread
Sierra Leone,SLE,-2000,Widespread
Sierra Leone,SLE,-1000,Widespread
Sierra Leone,SLE,0,Widespread
Sierra Leone,SLE,1000,Widespread
Sierra Leone,SLE,1500,Widespread
Sierra Leone,SLE,1750,Widespread
Sierra Leone,SLE,1850,Widespread
Slovakia,SVK,-8000,Widespread
Slovakia,SVK,-6000,Widespread
Slovakia,SVK,-4000,Widespread
Slovakia,SVK,-2000,Common
Slovakia,SVK,-1000,Minimal
Slovakia,SVK,0,Minimal
Slovakia,SVK,1000,Minimal
Slovakia,SVK,1500,Minimal
Slovakia,SVK,1750,Minimal
Slovakia,SVK,1850,Minimal
Slovenia,SVN,-8000,Widespread
Slovenia,SVN,-6000,Common
Slovenia,SVN,-4000,Common
Slovenia,SVN,-2000,Minimal
Slovenia,SVN,-1000,Minimal
Slovenia,SVN,0,Minimal
Slovenia,SVN,1000,Minimal
Slovenia,SVN,1500,Minimal
Slovenia,SVN,1750,Minimal
Slovenia,SVN,1850,Minimal
Somalia,SOM,-8000,Widespread
Somalia,SOM,-6000,Widespread
Somalia,SOM,-4000,Widespread
Somalia,SOM,-2000,Widespread
Somalia,SOM,-1000,Widespread
Somalia,SOM,0,Widespread
Somalia,SOM,1000,Common
Somalia,SOM,1500,Common
Somalia,SOM,1750,Common
Somalia,SOM,1850,Common
South Africa,ZAF,-8000,Widespread
South Africa,ZAF,-6000,Widespread
South Africa,ZAF,-4000,Widespread
South Africa,ZAF,-2000,Widespread
South Africa,ZAF,-1000,Widespread
South Africa,ZAF,0,Widespread
South Africa,ZAF,1000,Widespread
South Africa,ZAF,1500,Common
South Africa,ZAF,1750,Common
South Africa,ZAF,1850,Common
South Korea,KOR,-8000,Widespread
South Korea,KOR,-6000,Widespread
South Korea,KOR,-4000,Widespread
South Korea,KOR,-2000,Widespread
South Korea,KOR,-1000,Widespread
South Korea,KOR,0,Common
South Korea,KOR,1000,Minimal
South Korea,KOR,1500,Minimal
South Korea,KOR,1750,Minimal
South Korea,KOR,1850,Minimal
South Sudan,SSD,-8000,Widespread
South Sudan,SSD,-6000,Widespread
South Sudan,SSD,-4000,Widespread
South Sudan,SSD,-2000,Widespread
South Sudan,SSD,-1000,Common
South Sudan,SSD,0,Common
South Sudan,SSD,1000,Minimal
South Sudan,SSD,1500,Minimal
South Sudan,SSD,1750,Minimal
South Sudan,SSD,1850,Minimal
Spain,ESP,-8000,Widespread
Spain,ESP,-6000,Widespread
Spain,ESP,-4000,Common
Spain,ESP,-2000,Common
Spain,ESP,-1000,Minimal
Spain,ESP,0,Minimal
Spain,ESP,1000,Minimal
Spain,ESP,1500,Minimal
Spain,ESP,1750,Minimal
Spain,ESP,1850,Minimal
Sri Lanka,LKA,-8000,Common
Sri Lanka,LKA,-6000,Common
Sri Lanka,LKA,-4000,Widespread
Sri Lanka,LKA,-2000,Widespread
Sri Lanka,LKA,-1000,Widespread
Sri Lanka,LKA,0,Widespread
Sri Lanka,LKA,1000,Widespread
Sri Lanka,LKA,1500,Widespread
Sri Lanka,LKA,1750,Common
Sri Lanka,LKA,1850,Common
Sudan,SDN,-8000,Widespread
Sudan,SDN,-6000,Widespread
Sudan,SDN,-4000,Widespread
Sudan,SDN,-2000,Minimal
Sudan,SDN,-1000,Minimal
Sudan,SDN,0,Minimal
Sudan,SDN,1000,Minimal
Sudan,SDN,1500,Minimal
Sudan,SDN,1750,Minimal
Sudan,SDN,1850,Minimal
Suriname,SUR,-8000,None
Suriname,SUR,-6000,Minimal
Suriname,SUR,-4000,Minimal
Suriname,SUR,-2000,Common
Suriname,SUR,-1000,Common
Suriname,SUR,0,Widespread
Suriname,SUR,1000,Widespread
Suriname,SUR,1500,Widespread
Suriname,SUR,1750,Common
Suriname,SUR,1850,Common
Sweden,SWE,-8000,Minimal
Sweden,SWE,-6000,Widespread
Sweden,SWE,-4000,Widespread
Sweden,SWE,-2000,Common
Sweden,SWE,-1000,Common
Sweden,SWE,0,Common
Sweden,SWE,1000,Common
Sweden,SWE,1500,Common
Sweden,SWE,1750,Common
Sweden,SWE,1850,Common
Switzerland,CHE,-8000,Widespread
Switzerland,CHE,-6000,Widespread
Switzerland,CHE,-4000,Common
Switzerland,CHE,-2000,Minimal
Switzerland,CHE,-1000,Minimal
Switzerland,CHE,0,Minimal
Switzerland,CHE,1000,Minimal
Switzerland,CHE,1500,Minimal
Switzerland,CHE,1750,Minimal
Switzerland,CHE,1850,Minimal
Syria,SYR,-8000,Widespread
Syria,SYR,-6000,Common
Syria,SYR,-4000,Minimal
Syria,SYR,-2000,Minimal
Syria,SYR,-1000,Minimal
Syria,SYR,0,Minimal
Syria,SYR,1000,Minimal
Syria,SYR,1500,Minimal
Syria,SYR,1750,Minimal
Syria,SYR,1850,Minimal
Taiwan,TWN,-8000,Widespread
Taiwan,TWN,-6000,Widespread
Taiwan,TWN,-4000,Widespread
Taiwan,TWN,-2000,Common
Taiwan,TWN,-1000,Common
Taiwan,TWN,0,Common
Taiwan,TWN,1000,Minimal
Taiwan,TWN,1500,None
Taiwan,TWN,1750,None
Taiwan,TWN,1850,None
Tajikistan,TJK,-8000,Widespread
Tajikistan,TJK,-6000,Widespread
Tajikistan,TJK,-4000,Widespread
Tajikistan,TJK,-2000,Common
Tajikistan,TJK,-1000,Minimal
Tajikistan,TJK,0,Minimal
Tajikistan,TJK,1000,Minimal
Tajikistan,TJK,1500,Minimal
Tajikistan,TJK,1750,None
Tajikistan,TJK,1850,None
Tanzania,TZA,-8000,Common
Tanzania,TZA,-6000,Common
Tanzania,TZA,-4000,Common
Tanzania,TZA,-2000,Common
Tanzania,TZA,-1000,Common
Tanzania,TZA,0,Common
Tanzania,TZA,1000,Common
Tanzania,TZA,1500,Common
Tanzania,TZA,1750,Common
Tanzania,TZA,1850,Minimal
Thailand,THA,-8000,Common
Thailand,THA,-6000,Widespread
Thailand,THA,-4000,Widespread
Thailand,THA,-2000,Common
Thailand,THA,-1000,Widespread
Thailand,THA,0,Common
Thailand,THA,1000,Common
Thailand,THA,1500,Common
Thailand,THA,1750,Common
Thailand,THA,1850,Common
Togo,TGO,-8000,Widespread
Togo,TGO,-6000,Widespread
Togo,TGO,-4000,Widespread
Togo,TGO,-2000,Widespread
Togo,TGO,-1000,Widespread
Togo,TGO,0,Widespread
Togo,TGO,1000,Common
Togo,TGO,1500,Common
Togo,TGO,1750,Common
Togo,TGO,1850,Common
Trinidad and Tobago,TTO,-8000,None
Trinidad and Tobago,TTO,-6000,Minimal
Trinidad and Tobago,TTO,-4000,Minimal
Trinidad and Tobago,TTO,-2000,Common
Trinidad and Tobago,TTO,-1000,Common
Trinidad and Tobago,TTO,0,Widespread
Trinidad and Tobago,TTO,1000,Widespread
Trinidad and Tobago,TTO,1500,Widespread
Trinidad and Tobago,TTO,1750,Common
Trinidad and Tobago,TTO,1850,Common
Tunisia,TUN,-8000,Common
Tunisia,TUN,-6000,Common
Tunisia,TUN,-4000,Common
Tunisia,TUN,-2000,Common
Tunisia,TUN,-1000,Minimal
Tunisia,TUN,0,None
Tunisia,TUN,1000,None
Tunisia,TUN,1500,Minimal
Tunisia,TUN,1750,None
Tunisia,TUN,1850,None
Turkey,TUR,-8000,Widespread
Turkey,TUR,-6000,Common
Turkey,TUR,-4000,Minimal
Turkey,TUR,-2000,Minimal
Turkey,TUR,-1000,Minimal
Turkey,TUR,0,Minimal
Turkey,TUR,1000,Minimal
Turkey,TUR,1500,Minimal
Turkey,TUR,1750,Minimal
Turkey,TUR,1850,Minimal
Turkmenistan,TKM,-8000,Widespread
Turkmenistan,TKM,-6000,Widespread
Turkmenistan,TKM,-4000,Widespread
Turkmenistan,TKM,-2000,Common
Turkmenistan,TKM,-1000,Minimal
Turkmenistan,TKM,0,Minimal
Turkmenistan,TKM,1000,Minimal
Turkmenistan,TKM,1500,Minimal
Turkmenistan,TKM,1750,None
Turkmenistan,TKM,1850,None
Uganda,UGA,-8000,Minimal
Uganda,UGA,-6000,Minimal
Uganda,UGA,-4000,Common
Uganda,UGA,-2000,Common
Uganda,UGA,-1000,Common
Uganda,UGA,0,Common
Uganda,UGA,1000,Common
Uganda,UGA,1500,Minimal
Uganda,UGA,1750,Minimal
Uganda,UGA,1850,Minimal
Ukraine,UKR,-8000,Widespread
Ukraine,UKR,-6000,Widespread
Ukraine,UKR,-4000,Common
Ukraine,UKR,-2000,Common
Ukraine,UKR,-1000,Minimal
Ukraine,UKR,0,Minimal
Ukraine,UKR,1000,Minimal
Ukraine,UKR,1500,Minimal
Ukraine,UKR,1750,Minimal
Ukraine,UKR,1850,Minimal
United Arab Emirates,ARE,-8000,Widespread
United Arab Emirates,ARE,-6000,Widespread
United Arab Emirates,ARE,-4000,Common
United Arab Emirates,ARE,-2000,Common
United Arab Emirates,ARE,-1000,Minimal
United Arab Emirates,ARE,0,Minimal
United Arab Emirates,ARE,1000,Minimal
United Arab Emirates,ARE,1500,None
United Arab Emirates,ARE,1750,Minimal
United Arab Emirates,ARE,1850,Minimal
United Kingdom,GBR,-8000,Widespread
United Kingdom,GBR,-6000,Widespread
United Kingdom,GBR,-4000,Common
United Kingdom,GBR,-2000,Common
United Kingdom,GBR,-1000,Common
United Kingdom,GBR,0,Common
United Kingdom,GBR,1000,Common
United Kingdom,GBR,1500,Common
United Kingdom,GBR,1750,Common
United Kingdom,GBR,1850,Common
United States,USA,-8000,Common
United States,USA,-6000,Widespread
United States,USA,-4000,Widespread
United States,USA,-2000,Widespread
United States,USA,-1000,Common
United States,USA,0,Common
United States,USA,1000,Common
United States,USA,1500,Common
United States,USA,1750,Common
United States,USA,1850,Common
Uzbekistan,UZB,-8000,Widespread
Uzbekistan,UZB,-6000,Widespread
Uzbekistan,UZB,-4000,Widespread
Uzbekistan,UZB,-2000,Common
Uzbekistan,UZB,-1000,Minimal
Uzbekistan,UZB,0,Minimal
Uzbekistan,UZB,1000,Minimal
Uzbekistan,UZB,1500,Minimal
Uzbekistan,UZB,1750,None
Uzbekistan,UZB,1850,None
Vietnam,VNM,-8000,Common
Vietnam,VNM,-6000,Common
Vietnam,VNM,-4000,Common
Vietnam,VNM,-2000,Common
Vietnam,VNM,-1000,Common
Vietnam,VNM,0,Minimal
Vietnam,VNM,1000,Minimal
Vietnam,VNM,1500,Minimal
Vietnam,VNM,1750,Minimal
Vietnam,VNM,1850,Minimal
Yemen,YEM,-8000,Widespread
Yemen,YEM,-6000,Widespread
Yemen,YEM,-4000,Common
Yemen,YEM,-2000,Common
Yemen,YEM,-1000,Minimal
Yemen,YEM,0,Minimal
Yemen,YEM,1000,Minimal
Yemen,YEM,1500,None
Yemen,YEM,1750,Minimal
Yemen,YEM,1850,Minimal
Zambia,ZMB,-8000,Widespread
Zambia,ZMB,-6000,Widespread
Zambia,ZMB,-4000,Widespread
Zambia,ZMB,-2000,Widespread
Zambia,ZMB,-1000,Widespread
Zambia,ZMB,0,Widespread
Zambia,ZMB,1000,Widespread
Zambia,ZMB,1500,Widespread
Zambia,ZMB,1750,Common
Zambia,ZMB,1850,Common
Zimbabwe,ZWE,-8000,Widespread
Zimbabwe,ZWE,-6000,Widespread
Zimbabwe,ZWE,-4000,Widespread
Zimbabwe,ZWE,-2000,Widespread
Zimbabwe,ZWE,-1000,Widespread
Zimbabwe,ZWE,0,Widespread
Zimbabwe,ZWE,1000,Widespread
Zimbabwe,ZWE,1500,Widespread
Zimbabwe,ZWE,1750,Common
Zimbabwe,ZWE,1850,Common